id,country,eu_region,age_group,age_group_sort,year,gpg_pct,flag_code,flag_note
383,Cyprus,Southern,55-64,5_55-64,2023,25.7,p,provisional
384,Cyprus,Southern,55-64,5_55-64,2024,25.2,p,provisional
385,Cyprus,Southern,65+,6_65+,2008,27.0,,
386,Cyprus,Southern,65+,6_65+,2009,30.6,,
387,Cyprus,Southern,65+,6_65+,2010,28.7,,
388,Cyprus,Southern,65+,6_65+,2011,34.1,,
389,Cyprus,Southern,65+,6_65+,2012,38.9,,
390,Cyprus,Southern,65+,6_65+,2013,46.1,,
391,Cyprus,Southern,65+,6_65+,2014,52.9,,
392,Cyprus,Southern,65+,6_65+,2015,47.7,,
393,Cyprus,Southern,65+,6_65+,2016,38.9,,
394,Cyprus,Southern,65+,6_65+,2017,36.6,,
395,Cyprus,Southern,65+,6_65+,2018,26.2,,
396,Cyprus,Southern,65+,6_65+,2019,28.2,,
397,Cyprus,Southern,65+,6_65+,2020,28.1,,
398,Cyprus,Southern,65+,6_65+,2021,29.0,,
399,Cyprus,Southern,65+,6_65+,2022,30.0,,
400,Cyprus,Southern,65+,6_65+,2023,29.7,p,provisional
401,Cyprus,Southern,65+,6_65+,2024,26.2,p,provisional
402,Czechia,Eastern,Under 25,1_Under 25,2008,12.1,,
403,Czechia,Eastern,Under 25,1_Under 25,2009,10.3,,
404,Czechia,Eastern,Under 25,1_Under 25,2010,7.6,,
405,Czechia,Eastern,Under 25,1_Under 25,2011,8.7,,
406,Czechia,Eastern,Under 25,1_Under 25,2012,9.8,,
407,Czechia,Eastern,Under 25,1_Under 25,2013,11.7,,
408,Czechia,Eastern,Under 25,1_Under 25,2014,12.4,,
409,Czechia,Eastern,Under 25,1_Under 25,2015,12.0,d,definition differs
410,Czechia,Eastern,Under 25,1_Under 25,2016,11.3,d,definition differs
411,Czechia,Eastern,Under 25,1_Under 25,2017,11.1,d,definition differs
412,Czechia,Eastern,Under 25,1_Under 25,2018,10.4,d,definition differs
413,Czechia,Eastern,Under 25,1_Under 25,2019,9.6,,
414,Czechia,Eastern,Under 25,1_Under 25,2020,5.8,,
415,Czechia,Eastern,Under 25,1_Under 25,2021,4.4,,
416,Czechia,Eastern,Under 25,1_Under 25,2022,7.1,,
417,Czechia,Eastern,Under 25,1_Under 25,2023,8.2,d,definition differs
418,Czechia,Eastern,Under 25,1_Under 25,2024,7.7,dp,"provisional, definition differs"
419,Czechia,Eastern,25-34,2_25-34,2008,19.6,,
